MNEMONIQUE;LIBELLE;ADRESSE_NDS;ADRESSE_SNMP;LIBELLE_1
Trottoir_Roulant_R;Trottoir Roulant à Relais;1000;;Erreur de communication
Trottoir_Roulant_R;Trottoir Roulant à Relais;18;;Panne d'épuisement
Trottoir_Roulant_R;Trottoir Roulant à Relais;17;;Défaut levée de frein
Trottoir_Roulant_R;Trottoir Roulant à Relais;16;;AAI Défaut 48V Tame
Trottoir_Roulant_R;Trottoir Roulant à Relais;15;;AAI Défaut 48V de l¿AEM
Trottoir_Roulant_R;Trottoir Roulant à Relais;14;;AAI Défaut 400V PEF
Trottoir_Roulant_R;Trottoir Roulant à Relais;13;;AAI Défaut chariot tenseur
Trottoir_Roulant_R;Trottoir Roulant à Relais;12;;AAI Défaut rupture chaîne de treuil
Trottoir_Roulant_R;Trottoir Roulant à Relais;11;;AAI Défaut survitesse / dévirage
Trottoir_Roulant_R;Trottoir Roulant à Relais;10;;AAI Défaut thermique TLD démarrage
PC_I;PC industriel;1;0;Arrêt automatique en cours !
TPV;Terminal Point de Vente;1000;1000;Erreur de communication
TPV;Terminal Point de Vente;999999;;En entretien
SDP;Serveur de ports;1000;1000;Erreur de communication
SDP;Serveur de ports;999999;1;En entretien
CACC;Contrôle d'Accès métro Symphonie;1000;;Erreur de communication
CACC;Contrôle d'Accès métro Symphonie;999999;;En entretien
ADUP_snmp;Appareil Distributeur à l'Usage du Public snmp;1000;1000;Erreur de communication
ADUP_snmp;Appareil Distributeur à l'Usage du Public snmp;999999;;En entretien
API_STA;API station métro;10;;Defaut module PCMCIA
API_STA;API station métro;9;;Defaut carte emplacement 9
API_STA;API station métro;8;;Defaut carte emplacement 8
API_STA;API station métro;7;;Defaut carte emplacement 7
API_STA;API station métro;6;;Defaut carte emplacement 6
API_STA;API station métro;5;;Defaut carte emplacement 5
API_STA;API station métro;4;;Defaut carte emplacement 4
API_STA;API station métro;3;;Defaut carte emplacement 3
API_STA;API station métro;2;;Defaut carte emplacement 2
API_STA;API station métro;1;;Synthese defaut zone alarme
API_STA;API station métro;1014;;Inhibition
API_STA;API station métro;1011;;Commande maître modbus impossible
API_STA;API station métro;1006;;Bit de signe de vie manquant
API_STA;API station métro;1004;;Identifiant checksum incorrect
API_STA;API station métro;1003;;Identifiant version incorrect
API_STA;API station métro;1000;;Erreur de communication
Imprimante_snmp;IMPRIMANTE bureau station CDSMG et Symphonie;1014;;Inhibition
Imprimante_snmp;IMPRIMANTE bureau station CDSMG et Symphonie;1001;;Erreur de communication SNMP
Imprimante_snmp;IMPRIMANTE bureau station CDSMG et Symphonie;1000;;Erreur de communication
Imprimante_snmp;IMPRIMANTE bureau station CDSMG et Symphonie;3;;Bourrage papier
Imprimante_snmp;IMPRIMANTE bureau station CDSMG et Symphonie;2;;Plus de papier
Imprimante_snmp;IMPRIMANTE bureau station CDSMG et Symphonie;1;;Cartouche d'encre terminée
SUPVIDEO;SUPVIDEO - équipement virtuel de commutation video;1000;;Erreur de communication
SUPVIDEO;SUPVIDEO - équipement virtuel de commutation video;1;;En défaut (Alarme de synthèse)
SORTIE;Sortie sono;13;;Impédance 1 kHz hors tolérance
SORTIE;Sortie sono;12;;Zone non fonctionnelle
SORTIE;Sortie sono;11;;Amplificateur Hors Service
SORTIE;Sortie sono;10;;Amplificateur non secourable
SORTIE;Sortie sono;9;;Gain amplification hors tolérance
SORTIE;Sortie sono;8;;Amplificateur secouru
SORTIE;Sortie sono;7;;Ligne en court-circuit
SORTIE;Sortie sono;6;;Ligne en circuit ouvert
SORTIE;Sortie sono;5;;Impédance 18 kHz hors tolérance
SORTIE;Sortie sono;4;;Fuite à la terre hors tolérance
SORTIE;Sortie sono;3;;Erreur de commutation
CP_CA;Capteurs centrale alarme métro fils de ECENTRALE;6;;Défaut fonctionnement radar
CP_CA;Capteurs centrale alarme métro fils de ECENTRALE;5;;Defaut entrée en court-circuit
CP_CA;Capteurs centrale alarme métro fils de ECENTRALE;4;;Defaut entrée ouverte
CP_CA;Capteurs centrale alarme métro fils de ECENTRALE;3;;Defaut alimentation radar
ECENTRALE;Centrale alarme métro;4;;Défaut DLPS1
ECENTRALE;Centrale alarme métro;3;;Défaut d'alimentation DLPS
ECENTRALE;Centrale alarme métro;2;;Défaut d'alimentation capteur
ECENTRALE;Centrale alarme métro;1014;;Inhibition
ECENTRALE;Centrale alarme métro;1006;;Bit de signe de vie manquant
ECENTRALE;Centrale alarme métro;1004;;Identifiant checksum incorrect
ECENTRALE;Centrale alarme métro;1003;;Identifiant version incorrect
ECENTRALE;Centrale alarme métro;1002;;Identifiant équipement incorrect
ECENTRALE;Centrale alarme métro;1001;;Identifiant station incorrect
ECENTRALE;Centrale alarme métro;1000;;Erreur de communication
EEAS;Eqpt d'Accès Sono CDSMG et Symphonie;11;;Controleur remote non connecté
EEAS;Eqpt d'Accès Sono CDSMG et Symphonie;10;;Controleur polling non connecté
EEAS;Eqpt d'Accès Sono CDSMG et Symphonie;9;;Défaut smart failure
EEAS;Eqpt d'Accès Sono CDSMG et Symphonie;8;;Défaut disque dur
EEAS;Eqpt d'Accès Sono CDSMG et Symphonie;7;;Defaut Ethernet LAN 2
EEAS;Eqpt d'Accès Sono CDSMG et Symphonie;6;;Défaut Ethernet LAN 1
EEAS;Eqpt d'Accès Sono CDSMG et Symphonie;5;;Défaut ATM
EEAS;Eqpt d'Accès Sono CDSMG et Symphonie;4;;Défaut ventillation EAS
EEAS;Eqpt d'Accès Sono CDSMG et Symphonie;3;;Accès alimentation EAS impossible
EEAS;Eqpt d'Accès Sono CDSMG et Symphonie;2;;Défaut alimentation EAS
EEAS;Eqpt d'Accès Sono CDSMG et Symphonie;1000;;Erreur de communication
CSONO;Centrale de Sonorisation CDSMG et Symphonie;21;;Défaut nombre d'IDAS
CSONO;Centrale de Sonorisation CDSMG et Symphonie;20;;Défaut régulation 32
CSONO;Centrale de Sonorisation CDSMG et Symphonie;19;;Défaut régulation 28
CSONO;Centrale de Sonorisation CDSMG et Symphonie;18;;Défaut régulation 24
CSONO;Centrale de Sonorisation CDSMG et Symphonie;17;;Défaut régulation 20
CSONO;Centrale de Sonorisation CDSMG et Symphonie;16;;Défaut régulation 16
CSONO;Centrale de Sonorisation CDSMG et Symphonie;15;;Défaut régulation 12
CSONO;Centrale de Sonorisation CDSMG et Symphonie;14;;Défaut régulation 8
CSONO;Centrale de Sonorisation CDSMG et Symphonie;13;;Défaut régulation 4
CSONO;Centrale de Sonorisation CDSMG et Symphonie;12;;Défaut paramètre maintenance
CSONO;Centrale de Sonorisation CDSMG et Symphonie;11;;Défaut CRC message test phase
CSONO;Centrale de Sonorisation CDSMG et Symphonie;10;;Défaut message test phase absent
CSONO;Centrale de Sonorisation CDSMG et Symphonie;9;;Défaut CRC message évacuation
STOSC;Serveur TOSCANE;999998;;Version de logiciel incorrecte
STOSC;Serveur TOSCANE;1000;;Perte de communication
PTOSC;Poste mainteneur TOSCANE;1000;1000;Perte de communication
NDS;Concentrateur;999998;;Version de logiciel incorrecte
Monte_charge_ERM_CDS;Eqpt monte charge accédé via API ERM(CDS RER);1014;;Inhibition
Monte_charge_ERM_CDS;Eqpt monte charge accédé via API ERM(CDS RER);1;;Synthèse défaut technique
Climatiseur_ERM_CDS;Eqpt climatiseur accédé via API ERM CDS;1014;;Inhibition
Climatiseur_ERM_CDS;Eqpt climatiseur accédé via API ERM CDS;1;;Synthèse alarme AAI
Alimentation_ERM_CDS;Eqpt alimentation accédé via API ERM(CDS RER);1014;;Inhibition
Alimentation_ERM_CDS;Eqpt alimentation accédé via API ERM(CDS RER);1;;Synthese defaut technique
Eclairage_ERM_CDS;Eqpt armoire éclairage accédé via API ERM(CDS RER);1014;;Inhibition
Eclairage_ERM_CDS;Eqpt armoire éclairage accédé via API ERM(CDS RER);1;;Synthese defaut technique
PEF_ERM_CDS;Eqpt PEF accédé via API ERM (CDS RER);1014;;Inhibition
PEF_ERM_CDS;Eqpt PEF accédé via API ERM (CDS RER);3;;defaut alarme 3 (Manque Alim Force)
PEF_ERM_CDS;Eqpt PEF accédé via API ERM (CDS RER);2;;defaut alarme 2 (Defaut eclairage)
PEF_ERM_CDS;Eqpt PEF accédé via API ERM (CDS RER);1;;defaut alarme 1 (Manque tension)
API_ERM;Eqpt concentrateur API ERM (CDS RER);1014;;Inhibition
API_ERM;Eqpt concentrateur API ERM (CDS RER);1006;;Bit de signe de vie manquant
API_ERM;Eqpt concentrateur API ERM (CDS RER);1005;;Synchronisation horloge impossible
API_ERM;Eqpt concentrateur API ERM (CDS RER);1004;;Identifiant checksum incorrect
API_ERM;Eqpt concentrateur API ERM (CDS RER);1003;;Identifiant version incorrect
API_ERM;Eqpt concentrateur API ERM (CDS RER);1002;;Identifiant équipement incorrect
API_ERM;Eqpt concentrateur API ERM (CDS RER);1001;;Identifiant station incorrect
API_ERM;Eqpt concentrateur API ERM (CDS RER);1000;;Erreur de communication
Disjoncteur_Camera_GTC;Disjoncteur Carméra via API  GTC;1;;Disjoncteur caméra déclenché
Disjoncteur_Camera_GTC;Disjoncteur Carméra via API  GTC;1014;;Inhibition
API_GTC;API concentrateur GTC Telephonie/sono/EAI(API_GTC);1014;;Inhibition
API_GTC;API concentrateur GTC Telephonie/sono/EAI(API_GTC);1000;;Erreur de communication
Zone_Effraction_ADUP_GTC;Zone Effraction ADUP via API  GTC (CDS RER);1014;;Inhibition
Zone_Effraction_ADUP_GTC;Zone Effraction ADUP via API  GTC (CDS RER);5;;Synthèse défaut liaisons
Zone_Effraction_ADUP_GTC;Zone Effraction ADUP via API  GTC (CDS RER);4;;Synthèse défaut technique
Zone_Effraction_ADUP_GTC;Zone Effraction ADUP via API  GTC (CDS RER);3;;Ouverture ligne ADUP
Zone_Effraction_ADUP_GTC;Zone Effraction ADUP via API  GTC (CDS RER);2;;Court-circuit ligne ADUP
Zone_Effraction_ADUP_GTC;Zone Effraction ADUP via API  GTC (CDS RER);1;;Effraction ADUP
Armoire_Forte_GTC;Armoire Forte dans Zone agression via API  GTC;1014;;Inhibition
Armoire_Forte_GTC;Armoire Forte dans Zone agression via API  GTC;6;;Ouverture ligne ouverture armoire forte
Armoire_Forte_GTC;Armoire Forte dans Zone agression via API  GTC;5;;Court circuit ouverture armoire forte
Armoire_Forte_GTC;Armoire Forte dans Zone agression via API  GTC;4;;Ouverture ligne armoire forte
Armoire_Forte_GTC;Armoire Forte dans Zone agression via API  GTC;3;;Court circuit armoire forte
Armoire_Forte_GTC;Armoire Forte dans Zone agression via API  GTC;2;;Armoire forte
Armoire_Forte_GTC;Armoire Forte dans Zone agression via API  GTC;1;;Armoire forte HS
Pedale_GTC;Pédale d'alarme agression via API GTC;1014;;Inhibition
Pedale_GTC;Pédale d'alarme agression via API GTC;3;;Ouverture ligne pédale
Pedale_GTC;Pédale d'alarme agression via API GTC;2;;Court-circuit pédale
Pedale_GTC;Pédale d'alarme agression via API GTC;1;;Déclenchement pédale
Zone_Agression_GTC;Zone agression via un API  GTC (CDS RER);1014;;Inhibition
Zone_Agression_GTC;Zone agression via un API  GTC (CDS RER);7;;Synthèse défaut liaisons
Zone_Agression_GTC;Zone agression via un API  GTC (CDS RER);6;;Synthèse défaut technique agression
Zone_Agression_GTC;Zone agression via un API  GTC (CDS RER);5;;Synthèse alarme agression
Zone_Agression_GTC;Zone agression via un API  GTC (CDS RER);4;;Ouverture coffret agression
Zone_Agression_GTC;Zone agression via un API  GTC (CDS RER);3;;Sabotage clé de réarmement
Zone_Agression_GTC;Zone agression via un API  GTC (CDS RER);2;;Ouverture ligne clé de réarmement
Zone_Agression_GTC;Zone agression via un API  GTC (CDS RER);1;;Court-circuit clé de réarmement
Contact_Porte_GTC;Contact porte Zone effraction via API  GTC;1014;;Inhibition
Contact_Porte_GTC;Contact porte Zone effraction via API  GTC;6;;Ouverture ligne sabotage ouverture porte
Contact_Porte_GTC;Contact porte Zone effraction via API  GTC;5;;Court-circuit sabotage ouverture
Contact_Porte_GTC;Contact porte Zone effraction via API  GTC;4;;Sabotage ouverture
Contact_Porte_GTC;Contact porte Zone effraction via API  GTC;3;;Ouverture ligne ouverture porte
Contact_Porte_GTC;Contact porte Zone effraction via API  GTC;2;;Court-circuit ouverture porte
Contact_Porte_GTC;Contact porte Zone effraction via API  GTC;1;;Ouverture porte
Radar_GTC;Radar Zone effraction via API  GTC;1014;;Inhibition
Radar_GTC;Radar Zone effraction via API  GTC;6;;Ouverture ligne sabotage détection présence
Radar_GTC;Radar Zone effraction via API  GTC;5;;Court-circuit sabotage détection présence
Radar_GTC;Radar Zone effraction via API  GTC;4;;Sabotage détection présence
Radar_GTC;Radar Zone effraction via API  GTC;3;;Ouverture ligne détection présence
Radar_GTC;Radar Zone effraction via API  GTC;2;;Court-circuit détection présence
Radar_GTC;Radar Zone effraction via API  GTC;1;;Detection présence
Zone_Effraction_GTC;Zone effraction via API GTC(Zone_Effraction_GTC);1014;;Inhibition
Zone_Effraction_GTC;Zone effraction via API GTC(Zone_Effraction_GTC);7;;Synthèse défaut liaisons
Zone_Effraction_GTC;Zone effraction via API GTC(Zone_Effraction_GTC);6;;Synthèse défaut technique effraction
Zone_Effraction_GTC;Zone effraction via API GTC(Zone_Effraction_GTC);5;;Synthèse alarme effraction
Zone_Effraction_GTC;Zone effraction via API GTC(Zone_Effraction_GTC);4;;Ouverture coffret effraction
Zone_Effraction_GTC;Zone effraction via API GTC(Zone_Effraction_GTC);3;;Sabotage clé de réarmement
Zone_Effraction_GTC;Zone effraction via API GTC(Zone_Effraction_GTC);2;;Ouverture ligne clé de réarmement
Zone_Effraction_GTC;Zone effraction via API GTC(Zone_Effraction_GTC);1;;Court-circuit clé de réarmement
UTL_GTC;Unité Traitement Local via un API GTC(CDS RER);1014;;Inhibition
UTL_GTC;Unité Traitement Local via un API GTC(CDS RER);3;;Défaut alimentation
UTL_GTC;Unité Traitement Local via un API GTC(CDS RER);2;;Sabotage du coffret
UTL_GTC;Unité Traitement Local via un API GTC(CDS RER);1;;Défaut communication API EA <-> UTL
API_EA_GTC;Centrale alarme accédé via un API GTC;1014;;Inhibition
API_EA_GTC;Centrale alarme accédé via un API GTC;5;;Défaut liaison API EA <-> MODEM
API_EA_GTC;Centrale alarme accédé via un API GTC;4;;Sabotage du coffret
API_EA_GTC;Centrale alarme accédé via un API GTC;3;;Défaut centrale écoute discrète
API_EA_GTC;Centrale alarme accédé via un API GTC;2;;Défaut disjoncteur alimentation
API_EA_GTC;Centrale alarme accédé via un API GTC;1;;Défaut communication API SONO <-> API EA
Haut_Parleur_GTC;Haut parleur via un API GTC;1014;;Inhibition
Haut_Parleur_GTC;Haut parleur via un API GTC;1;;Défaut impédance
Zone_Sono_GTC;Zone de sonorisation via un API GTC (CDS RER);1014;;Inhibition
Zone_Sono_GTC;Zone de sonorisation via un API GTC (CDS RER);3;;Zone de sonrisation HS
Zone_Sono_GTC;Zone de sonorisation via un API GTC (CDS RER);2;;Défaut haut-parleur
Zone_Sono_GTC;Zone de sonorisation via un API GTC (CDS RER);1;;Défaut amplificateur
Ampli_GTC;Amplificateur via un API GTC;1014;;Inhibition
Ampli_GTC;Amplificateur via un API GTC;2;;Ampli secouru
Ampli_GTC;Amplificateur via un API GTC;1;;Ampli en défaut
IPH_GTC;Interphone via un API concentrateur GTC;1014;;Inhibition
IPH_GTC;Interphone via un API concentrateur GTC;1;;Hors service
EAT_GTC;Centrale téléphonique via un API GTC(EAT_GTC);1014;;Inhibition
EAT_GTC;Centrale téléphonique via un API GTC(EAT_GTC);3;;Défaut ligne téléphonique
EAT_GTC;Centrale téléphonique via un API GTC(EAT_GTC);2;;Défaut batterie
EAT_GTC;Centrale téléphonique via un API GTC(EAT_GTC);1;;Auto-commutateur en défaut
ALMTC;alarme de synthèse de divers équipements;1014;;Inhibition
ALMTC;alarme de synthèse de divers équipements;1;;Synthèse défaut technique
ECENTRALE;Centrale alarme métro;7;;Défaut Autoprotection
ECENTRALE;Centrale alarme métro;6;;Vu hors service par API
ECENTRALE;Centrale alarme métro;5;;Défaut DLPS2
PTN;Poste Téléphonique Numérique;2;;Defaut liaison téléphonique
EMONITEUR;Moniteur de téléaffichage CDSMG et Symphonie;1000;;Erreur de communication
EMONITEUR;Moniteur de téléaffichage CDSMG et Symphonie;3;;Indisponible selon exploitant
EMONITEUR;Moniteur de téléaffichage CDSMG et Symphonie;2;;Moniteur HS
EIPH;Interphone CDSMG et Symphonie;7;;Dysfonctionnement interne
EIPH;Interphone CDSMG et Symphonie;6;;Defaut liaison téléphonique
EEAT;Eqpt d'Accès Téléphonie CDSMG et Symphonie;1000;1000;Erreur de communication
EEAT;Eqpt d'Accès Téléphonie CDSMG et Symphonie;1;;IT alarme synthese
ECAMERA;Caméra;1000;;Erreur de communication
ECAMERA;Caméra;3;;Caméra masquée
ECAMERA;Caméra;2;;Caméra HS
ECAMERA;Caméra;1;;En défaut (Alarme de synthèse)
API_STA;API station métro;13;;Defaut batterie
API_STA;API station métro;12;;Defaut debordement chien de garde
API_STA;API station métro;11;;Defaut E S
CSONO;Centrale de Sonorisation CDSMG et Symphonie;8;;Défaut message évacuation absent
CSONO;Centrale de Sonorisation CDSMG et Symphonie;7;;Réserve
CSONO;Centrale de Sonorisation CDSMG et Symphonie;6;;Défaut commande évacuation
CSONO;Centrale de Sonorisation CDSMG et Symphonie;5;;Combiné SONO secours mal raccroché
CSONO;Centrale de Sonorisation CDSMG et Symphonie;4;;Défaut audio combiné secours
CSONO;Centrale de Sonorisation CDSMG et Symphonie;3;;Défaut alternat combiné de secours
CSONO;Centrale de Sonorisation CDSMG et Symphonie;2;;Défaut sonorisation secours
CSONO;Centrale de Sonorisation CDSMG et Symphonie;1;;Alarme de synthèse intervention différée
CSONO;Centrale de Sonorisation CDSMG et Symphonie;1007;;Identifiant checksum paramètres incorrect
CSONO;Centrale de Sonorisation CDSMG et Symphonie;1006;;Bit de signe de vie manquant
CSONO;Centrale de Sonorisation CDSMG et Symphonie;1004;;Identifiant checksum incorrect
CSONO;Centrale de Sonorisation CDSMG et Symphonie;1003;;Identifiant version incorrect
CSONO;Centrale de Sonorisation CDSMG et Symphonie;1002;;Identifiant équipement incorrect
CSONO;Centrale de Sonorisation CDSMG et Symphonie;1001;;Identifiant station incorrect
CSONO;Centrale de Sonorisation CDSMG et Symphonie;1000;;Erreur de communication
Bris_de_glace;Bris de glace via API Station et Gare;1013;;Commande automatique klaxon impossible
Bris_de_glace;Bris de glace via API Station et Gare;1;;Détection
NDS;Concentrateur;999999;;En entretien
NDS;Concentrateur;1000;;Erreur de communication
SielStation;Objet SIEL;2;;Plus de réception des TA sans perte de connexion avec le diffuseur
SielStation;Objet SIEL;1;;Perte de la connexion avec le diffuseur
SielStation;Objet SIEL;999999;;En entretien
SIV;Serveur d'Information Voyageur;1000;;Erreur de communication
Disjoncteur_DBT_PEF;PEF Métro;1000;;Erreur de communication
Disjoncteur_DBT_PEF;PEF Métro;4;;alarme zone P ou J
Disjoncteur_DBT_PEF;PEF Métro;3;;alarme zone T2
Disjoncteur_DBT_PEF;PEF Métro;2;;alarme zone T1
Disjoncteur_DBT_PEF;PEF Métro;1;;alarme zone PEF
Disjoncteur_DBT_PEF;PEF Métro;999999;;En entretien
PSIEL;Panneau d'Information Quai;1008;;Echec d'une ou plusieurs commandes de PIQ
PSIEL;Panneau d'Information Quai;1007;;Service indisponible
PSIEL;Panneau d'Information Quai;1006;;Bit de signe de vie manquant
PSIEL;Panneau d'Information Quai;1005;;Synchronisation horloge impossible
PSIEL;Panneau d'Information Quai;1004;;Identifiant checksum incorrect
PSIEL;Panneau d'Information Quai;1003;;Identifiant version incorrect
PSIEL;Panneau d'Information Quai;1002;;Identifiant équipement incorrect
PSIEL;Panneau d'Information Quai;1001;;Identifiant station incorrect
PSIEL;Panneau d'Information Quai;1000;;Erreur de communication
PSIEL;Panneau d'Information Quai;14;;Erreur de CRC : X alarmes en Y minutes, mise en mode repli
PSIEL;Panneau d'Information Quai;13;;Erreur de CRC : X erreurs sur Y trames
PSIEL;Panneau d'Information Quai;12;;Absence de mise à jour de l'heure
PSIEL;Panneau d'Information Quai;11;;Absence de réception des TA
PSIEL;Panneau d'Information Quai;10;;Défaillance de l'alimentation
PSIEL;Panneau d'Information Quai;9;;Défaut de fonctionnement à la mise sous tension
PSIEL;Panneau d'Information Quai;8;;Défaillance de la direction B
PSIEL;Panneau d'Information Quai;7;;Défaillance de la direction A
PSIEL;Panneau d'Information Quai;6;;Défaillance de la zone d'affichage 2 direction B
PSIEL;Panneau d'Information Quai;5;;Défaillance de la zone d'affichage 1 direction B
PSIEL;Panneau d'Information Quai;4;;Défaillance de la zone d'affichage 2 direction A
PSIEL;Panneau d'Information Quai;3;;Défaillance de la zone d'affichage 1 direction A
PSIEL;Panneau d'Information Quai;2;;Défaillance de la zone heure
PSIEL;Panneau d'Information Quai;1;;Alarme sur l'afficheur
PSIEL;Panneau d'Information Quai;999999;;En entretien
PC_I;PC industriel;1000;1000;Erreur de communication
PC_I;PC industriel;4;.1.3.6.1.4.1.2021.8.1.100.5;Appli HS
PC_I;PC industriel;3;.1.3.6.1.4.1.2021.8.1.100.1;Température trop élevée
PC_I;PC industriel;2;.1.3.6.1.4.1.2021.8.1.100.2;Conso CPU trop élevée 
Trottoir_Roulant_R;Trottoir Roulant à Relais;9;;AAI Défaut mains courantes
Trottoir_Roulant_R;Trottoir Roulant à Relais;8;;AAI Défaut plaques palières haute ou basse
Trottoir_Roulant_R;Trottoir Roulant à Relais;7;;AAI non discriminée
Trottoir_Roulant_R;Trottoir Roulant à Relais;6;;En arrêt AAI
Trottoir_Roulant_R;Trottoir Roulant à Relais;5;;En arrêt ASI
Trottoir_Roulant_R;Trottoir Roulant à Relais;4;;Niveau de bruit anormal
